eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
617413160,2019,02,02,09,53,14.35,100.059,-2.9125,25.6,3.61755,0
2772215,2000,06,06,21,00,13.01,102.3241,-5.7593,25.6,3.92076,0
3370264,2002,06,29,23,47,00.31,103.8569,-7.076,25.6,4.52718,0
3209149,2002,06,26,14,37,11.44,102.4151,-6.0046,25.6,4.72932,0
7059525,2003,08,11,11,50,44.15,105.7933,-8.4311,25.6,4.72932,0
11006256,2008,02,20,10,30,07.01,100.6276,-3.5659,25.6,4.83039,0
1736354,2000,06,10,07,41,29.85,102.1973,-5.0005,25.6,5.1336,0
12961968,2007,09,12,16,53,24.76,100.376,-3.1381,25.6,5.23467,0
12961800,2007,09,12,23,19,46.47,100.7972,-4.1031,25.6,5.23467,0
3269297,2001,02,13,21,09,58.08,102.9867,-4.8139,25.5,3.61755,0
617413163,2019,02,02,10,30,36.48,100.0468,-2.8394,25.5,3.81969,0
